,descricao_detalhada,marca,departamento_macro,departamento,categoria_familia,tipo_produto,subtipo_funcao,segmento_mercado,publico_ou_tom,grupo_navegacao,apresentacao_publico
0,SHAMPOO LORÉAL PARIS ELSEVE LISO DOS SONHOS 200ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
1,SHAMPOO ANTICASPA HEAD & SHOULDERS MEN MENTHOL SPORT 400ML,HEAD & SHOULDERS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,ANTICASPA,FEMININO,,
2,SHAMPOO AMORÁVEL AVIADOR 200ML/POMADA CAPILAR AVIADOR MATTE 80G,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,MASCULINO,,
3,SH OPUS SALON COLOR PROTECT 350ML,SALON OPUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
4,SHAMPOO BIORENE HIDRAFORTE 250ML,BIORENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
5,SHAMPOO CLEAR COOL MENTOL COM 200ML,CLEAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,ANTICASPA,FEMININO,,
6,SHAMPOO+CONDICIONADOR HEAD&SHOULDERS PROTEÇÃO CONTRA QUEDA 200ML,HEAD & SHOULDERS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,ANTICASPA,FEMININO,,
7,SHAMPOO SALON LINE HIDRA ORIGINAL 300ML + CONDICIONADOR SALON LINE HIDRA ORIGINAL 300ML,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
8,SH VITA A TUTANO 300ML,TUTANO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
9,KIT MONSTER SH+COND HIDRATACAO 250ML,MONSTER HIGH,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
10,SHAMPOO EUDORA SIAGE NUTRI OURO 250ML,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
11,SHAMPOO EUME LISOS 250ML,EUME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
12,SH CO LOVE BEAUTY PLANET HOP REP 300ML,LOVE BEAUTY & PLANET,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
13,SHAMPOO KERIUM ANTICASPA SECO 200ML,LA ROCHE POSAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,NAO DEFINIDO,NAO DEFINIDO,,
14,SH DE BARB DR JONES CARV VEG 140ML,DR JONES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
15,SHAMPOO NUTRI PREENCHEDOR ELSEVE CACHOS LONGOS DOS SONHOS 200ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
16,SHAMPOO NICK VICK NUTRI RAÍZES E PONTAS EQUILIBRADAS AMORA E CALÊNDULA 300ML,NICK & VICK,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,SUPER PREMIUM,FEMININO,,
17,SHAMPOO SEDA ESCOVA PROTECT/ POS ALISAMENTO QUIMICO 350ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
18,SH BIOEXTRATUS BOTICA ALGAS 270ML,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
19,KIT COM 02 SHAMPOO CLEAR ICE ICE COOL MENTHOL 200ML DESCONTO ESPECIAL,CLEAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,ANTICASPA,FEMININO,,
20,SHAMPOO DUCRAY ANAPHASE+ ANTIQUEDA 100ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
21,SHAMPOO A SECO BATISTE ORIGINAL 200ML,BATISTE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,A SECO,PREMIUM,FEMININO,,
22,SHAMPOO AMEND MATIZADOR SPECIALIST BLONDE 250ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
23,SHAMPOO AUSSIE SUMMER CRUSH 180ML,AUSSIE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
24,SHAMPOO DAUF LISOS ÁCIDO HIALURÔNICO 300ML,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
25,SHAMPOO HEAD & SHOULDERS CRESCIMENTO 200ML COM 2 UNIDADES PREÇO ESPECIAL,HEAD & SHOULDERS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTIQUEDA,ANTICASPA,FEMININO,,
26,SHAMPOO MIDOLLO DI BAMBOO 250ML,MIDOLLO DI BAMBOO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
27,DERCOS ENERGIZANTE SHAMPOO ANTIQUEDA REFIL 200ML,VICHY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
28,SHAMPOO OX PLANTS ANTI+COND PLANTS HID,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
29,SHAMPOO OX RAIZES GENGIBRE 300ML,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
30,SHAMPOO ÉH CABELOS CACHEADOS 300ML,EH,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
31,SH CAPICILIN BOMBA NUTRITIVA 250ML,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,HIDRATANTE,BASICO,FEMININO,,
32,SHAMPOO DERCOS NUTRI REPARADOR 200ML,VICHY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,REPARADOR,NAO DEFINIDO,NAO DEFINIDO,,
33,KIT REGENERAÇÃO E LUMINOSIDADE SHAMPOO 300ML + CONDICIONADOR 190ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
34,SH SALON LINE MEU LISO RESTAURACAO,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,PRE SHAMPOO,PREMIUM,FEMININO,,
35,KIT SHAMPOO ANTISSAL 275ML + CONDICIONADOR 175ML QUERATINA V E CERAMIDA NIELY GOLD RECONSTRUÇÃO POTENTE,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
36,SHAMPOO DOVE ÓLEO NUTRIÇÃO 400ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
37,SH INOAR ARGAN OIL THERMOLISS 240ML,INOAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
38,SHAMPOO ANTICASPA MENTOL 3X1 BOZZANO FRASCO 325ML,BOZZANO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,RAIZ,GERAL,,
39,SHAMPOO KERIUM ANTICASPA DS INTENSIVO 125ML+KERIUM MASCARA CAPILAR 200ML GANHE 50% DE DESCONTO NO KERIUM DS,LA ROCHE POSAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,ANTICASPA,NAO DEFINIDO,NAO DEFINIDO,,
40,KIT PANTENE RESTAURAÇÃO SHAMPOO COM 350ML + CONDICIONADOR COM 175ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
41,SH ACQUAFLORA NUT CELULAR 300ML,ACQUAFLORA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
42,SHAMPOO PANTENE LISO EXTREMO 400ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
43,SHAMPOO DOVE CACHOS CONTROLADOS 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
44,CONDICIONADOR DUCRAY ANAPHASE+ ANTIQUEDA 200ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,SHAMPOO,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
45,SHAMPOO LOCCITANE AU BRÉSIL PATAUÁ PROTEÇÃO DA COR 250ML,LOCCITANE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,PREMIUM,FEMININO,,
46,KIT SH+COND FRUCTIS APAG DAN 400ML+200ML,GARNIER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,BASICO,FEMININO,,
47,SHAMPOO PANTENE LISO EXTREMO 200ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
48,SHP+COND OX SPORT+TOALHA,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
49,SHAMPOO TRESEMMÉ BRILHO LAMELAR BLEND DE ÓLEOS 650ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,SHAMPOO,TRADICIONAL,INTERMEDIARIO,FEMININO,,
50,FIXADOR CAPILAR AMEND FORTE VALORIZE 400ML,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,AEROSOL,PREMIUM,FEMININO,,
51,MOUSSE JOHN FRIEDA TOUCHABLY FULL VOLUME 250ML,JOHN FRIEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
52,ATIVADOR DE CACHOS SALON LINE OLEO DE MANGA 300ML,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,CREME,BASICO,FEMININO,,
53,CREME MANTEIGA MODELADORA LOLA FROM RIO PLOT TWIST NUT BUTTERCREAM 480G,LOLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MANTEIGA,PREMIUM,FEMININO,,
54,GEL CAPILAR FIXADOR DOVE MEN + CARE 150G,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,INTERMEDIARIO,MASCULINO,,
55,FIXADOR CAPILAR EMY FIXAÇÃO NORMAL AEROSOL 250ML,EMY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,AEROSOL,BASICO,FEMININO,,
56,POMADA MODELADORA EUDORA SIÀGE MEN EFEITO MATTE FIXAÇÃO DURADOURA 90G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,PREMIUM,MASCULINO,,
57,POMADA CAPILAR AMORAVEL RETRÔ 40G,AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,POMADA,BASICO,FEMININO,,
58,MOUSSE MODELADORA KARINA EXTRAFORTE 150ML,KARINA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,INTERMEDIARIO,FEMININO,,
59,FIXADOR PARA CABELOS CHARMING HAIR FORTE SPRAY 150ML,CHARMING,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,PREMIUM,FEMININO,,
60,MOUSSE EMY CAUTERIZANTE AEROSOL 170ML,EMY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,BASICO,FEMININO,,
61,MOUSSE MODELADORA KARINA NORMAL 150ML,KARINA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,INTERMEDIARIO,FEMININO,,
62,GEL CAP NATUHAIR QUERATINA GEL 120G,NATU HAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
63,MODELADOR KOLENE DAY AFTER  SUPERFINALIZADORES AZUL 300ML,KOLENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,DEFRIZANTE,BASICO,FEMININO,,
64,ATIVADOR CACHOS BIO EXTRATUS BIOTT 150G,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,CREME,INTERMEDIARIO,FEMININO,,
65,FIXADOR CAPILAR CARE LISS EXTRA FORTE SPRAY 250ML,CARE LISS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,SPRAY,BASICO,FEMININO,,
66,FINALIZADOR BED HEAD FOXY CURLS MOUSSE 250ML,BED HEAD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
67,GEL MATTE GO 50GR,GO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,MOUSSE,PREMIUM,FEMININO,,
68,FIXADOR CAPILAR NY LOOKS ROSA GEL 240G,NY LOOKS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,MODELADOR CAPILAR,GEL,BASICO,FEMININO,,
