tipo_produto,marca,linha,publico_alvo,apresentacao,volume_peso,curvatura_indicada,tipo_fio_condicao,beneficio_principal,ingredientes_destaque,tecnica_liberada,tipo_coloracao,tom_cor,numero_cor,com_amonia,textura_formato,nivel_fixacao,efeito_visual,protecao_termica,tipo_acessorio,material,funcao_uso,input_original,familia_origem,atributos_tratamento,atributos_coloracao,atributos_finalizacao_modelagem,atributos_acessorios,quantidade_embalagem,cor_visual,nome_cor,acabamento_efeito,funcao_tratamento,composicao_especifica,finalidade_uso,tipo_ponta,esterilizavel,gramatura_textura,formato,metodo_fixacao,atributos_instrumentos_acessorios,atributos_unhas_posticas,soup
Creme Alisante,SFERA,,,Pote,80g,,,Alisante,Manteiga de Karité,,,,,,,,,,,,,CREME ALISANTE SFERA MANTEIGA DE KARITE 80G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme alisante sfera      alisante  80g
Máscara,AMEND,Reconstrução Interna Color Reflect,,Pote,300g,,"Danificado, Quimicamente Tratado",Reconstrução Interna e Reflexos de Cor,Silicone,,,,,,,,,,,,,MASCARA AMEND REC INT COLOR REFLECT 300G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara amend reconstrução interna color reflect     reconstrução interna e reflexos de cor  300g
Mousse,Karina,,Normal,Aerosol,150ml,,,Modelagem,,,,,,,Mousse,Média,Volume,,,,,MOUSSE MODELADORA KARINA NORMAL 150ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,mousse karina      modelagem  150ml
Shampoo,Bioextratus,Botica Algas,,Frasco,270ml,,Normal,Limpeza tradicional,Algas,,,,,,,,,,,,,SH BIOEXTRATUS BOTICA ALGAS 270ML,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,shampoo bioextratus botica algas     limpeza tradicional  270ml
Secador,Mega,,Adulto,220V 1800W,,,,,,,,,,,,,,,Secador,,Secar,SECADOR MEGA ST2800 1800WATTS 220V,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,secador mega
Elástico,,Modelador Almofada Oval,Adulto,Unidade,,,,,,,,,,,,,,,Elástico,Plástico,Prender,ESC CAB MODELAD ALMOF OVAL-111,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,elástico  modelador almofada oval        plástico
Pomada Capilar,Charming,,Adulto,Pote,50g,,,Modelagem,,,,,,,Creme,,Matte,,,,,POMADA CAPILAR MODELADORA CHARMING 50G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,pomada capilar charming      modelagem  50g
Creme Alisante,Ton Wellin Color Gran,,Adulto,Creme,,Liso,Quimicamente Tratado,Alisamento,,,,,,,Creme,,,,,,,CREME ALISANTE TON WELLIN COLOR GRAN 645,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme alisante ton wellin color gran     liso alisamento
Creme Alisante,,CAST,Adulto,Pote,135g,Todos os tipos,,Alisamento e Tonalização,,,Tonalizante,,,,Creme,,,,,,,CRM ALISA E TINGE CAST ESC 135G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,creme alisante  cast    todos os tipos alisamento e tonalização  135g
Máscara,Bed Head,Recovery,Seco,Pote,200g,Todos os tipos,Seco,Hidratação,Queratina,,,,,,Creme,,,,,,,MASCARA DE TRATAMENTO BED HEAD RECOVERY CABELOS RESSECADOS 200G,CUIDADO CAPILAR,,,,,,,,,,,,,,,,,,,máscara bed head recovery    todos os tipos hidratação  200g
